year;type;order;country;artist;title;language;position;score;maxpoints;voters
2016;semifinals 2;12;Bulgaria;Poli Genova;"""If Love Was a Crime""";English, Bulgarian;5;220;24;21
2016;semifinals 2;13;Denmark;Lighthouse X;"""Soldiers of Love""";English;17;34;24;21
2016;semifinals 2;14;Ukraine;Jamala;"""1944""";English, Crimean Tatar;2;287;24;21
2016;semifinals 2;15;Norway;Agnete;"""Icebreaker""";English;13;63;24;21
2016;semifinals 2;16;Georgia;Nika Kocharov & Young Georgian Lolitaz;"""Midnight Gold""";English;9;123;24;21
2016;semifinals 2;17;Albania;Eneda Tarifa;"""Fairytale""";English;16;45;24;21
2016;semifinals 2;18;Belgium;Laura Tesoro;"""What's the Pressure""";English;3;274;24;21
2016;semifinals 1;1;Finland;Sandhja;"""Sing It Away""";English;15;51;24;21
2016;semifinals 1;2;Greece;Argo;"""Utopian Land""";English, Greek;16;44;24;21
2016;semifinals 1;3;Moldova;Lidia Isac;"""Falling Stars""";English;17;33;24;21
2016;semifinals 1;4;Hungary;Freddie;"""Pioneer""";English;4;197;24;21
2016;semifinals 1;5;Croatia;Nina Kralji?;"""Lighthouse""";English;10;133;24;21
2016;semifinals 1;6;Netherlands;Douwe Bob;"""Slow Down""";English;5;197;24;21
2016;semifinals 1;7;Armenia;Iveta Mukuchyan;"""LoveWave""";English;2;243;24;21
2016;semifinals 1;8;San Marino;Serhat;"""I Didn't Know""";English;12;68;24;21
2016;semifinals 1;9;Russia;Sergey Lazarev;"""You Are the Only One""";English;1;342;24;21
2016;semifinals 1;10;Czech Republic;Gabriela Gun?íková;"""I Stand""";English;9;161;24;21
2016;semifinals 1;11;Cyprus;Minus One;"""Alter Ego""";English;8;164;24;21
2016;semifinals 1;12;Austria;Zoë;"""Loin d'ici""";French;7;170;24;21
2016;semifinals 1;13;Estonia;Jüri Pootsmann;"""Play""";English;18;24;24;21
2016;semifinals 1;14;Azerbaijan;Samra;"""Miracle""";English;6;185;24;21
2016;semifinals 1;15;Montenegro;Highway;"""The Real Thing""";English;13;60;24;21
2016;semifinals 1;16;Iceland;Greta Salóme;"""Hear Them Calling""";English;14;51;24;21
2016;semifinals 1;17;Bosnia and Herzegovina;Dalal & Deen feat. Ana Rucner and Jala;"""Ljubav je""";Bosnian;11;104;24;21
2016;semifinals 1;18;Malta;Ira Losco;"""Walk on Water""";English;3;209;24;21
2015;semifinals 1;1;Moldova;Eduard Romanyuta;"""I Want Your Love""";English;11;41;12;20
2015;semifinals 1;2;Armenia;Genealogy;"""Face the Shadow""";English;7;77;12;20
