year;type;order;country;artist;title;language;position;score;maxpoints;voters
2012;semifinals 1;6;Romania;Mandinga;"""Zaleilah""";Spanish, English;3;120;12;21
2012;semifinals 1;7;Switzerland;Sinplus;"""Unbreakable""";English;11;45;12;21
2012;semifinals 1;8;Belgium;Iris;"""Would You?""";English;17;16;12;21
2012;semifinals 1;9;Finland;Pernilla Karlsson;"""När jag blundar""";Swedish;12;41;12;21
2012;semifinals 1;10;Israel;Izabo;"""Time""";English, Hebrew;13;33;12;21
2012;semifinals 1;11;San Marino;Valentina Monetta;"""The Social Network Song (Oh Oh – Uh - Oh Oh)""";English;14;31;12;21
2012;semifinals 1;12;Cyprus;Ivi Adamou;"""La La Love""";English;7;91;12;21
2012;semifinals 1;13;Denmark;Soluna Samay;"""Should've Known Better""";English;9;63;12;21
2012;semifinals 1;14;Russia;Buranovskiye Babushki;"""Party for Everybody""";Udmurt, English;1;152;12;21
2012;semifinals 1;15;Hungary;Compact Disco;"""Sound of Our Hearts""";English;10;52;12;21
2012;semifinals 1;16;Austria;Trackshittaz;"""Woki mit deim Popo""";German;18;8;12;21
2012;semifinals 1;17;Moldova;Pasha Parfeny;"""L?utar""";English;5;100;12;21
2012;semifinals 1;18;Ireland;Jedward;"""Waterline""";English;6;92;12;21
2012;semifinals 2;1;Serbia;Željko Joksimovi?;"""Nije ljubav stvar"" (???? ????? ?????)";Serbian;2;159;12;21
2012;semifinals 2;2;Macedonia;Kaliopi;"""Crno i belo"" (???? ? ????)";Macedonian;9;53;12;21
2012;semifinals 2;3;Netherlands;Joan Franka;"""You and Me""";English;15;35;12;21
2012;semifinals 2;4;Malta;Kurt Calleja;"""This Is the Night""";English;7;70;12;21
2012;semifinals 2;5;Belarus;Litesound;"""We Are the Heroes""";English;16;35;12;21
2012;semifinals 2;6;Portugal;Filipa Sousa;"""Vida minha""";Portuguese;13;39;12;21
2012;semifinals 2;7;Ukraine;Gaitana;"""Be My Guest""";English;8;64;12;21
2012;semifinals 2;8;Bulgaria;Sofi Marinova;"""Love Unlimited""";Bulgarian;11;45;12;21
2012;semifinals 2;9;Slovenia;Eva Boto;"""Verjamem""";Slovene;17;31;12;21
2012;semifinals 2;10;Croatia;Nina Badri?;"""Nebo""";Croatian;12;42;12;21
2012;semifinals 2;11;Sweden;Loreen;"""Euphoria""";English;1;181;12;21
2012;semifinals 2;12;Georgia;Anri Jokhadze;"""I'm a Joker""";English, Georgian;14;36;12;21
2012;semifinals 2;13;Turkey;Can Bonomo;"""Love Me Back""";English;5;80;12;21
2012;semifinals 2;14;Estonia;Ott Lepland;"""Kuula""";Estonian;4;100;12;21
2012;semifinals 2;15;Slovakia;²;"""Don't Close Your Eyes""";English;18;22;12;21
2012;semifinals 2;16;Norway;Tooji;"""Stay""";English;10;45;12;21
2012;semifinals 2;17;Bosnia and Herzegovina;Maya Sar;"""Korake ti znam""";Bosnian;6;77;12;21
2012;semifinals 2;18;Lithuania;Donny Montell;"""Love Is Blind""";English;3;104;12;21
2012;finals;1;United Kingdom;Engelbert Humperdinck;"""Love Will Set You Free""";English;25;12;12;42
2012;finals;2;Hungary;Compact Disco;"""Sound of Our Hearts""";English;24;19;12;42
2012;finals;3;Albania;Rona Nishliu;"""Suus""3";Albanian;5;146;12;42
2012;finals;4;Lithuania;Donny Montell;"""Love Is Blind""";English;14;70;12;42
2012;finals;5;Bosnia and Herzegovina;Maya Sar;"""Korake ti znam""";Bosnian;18;55;12;42
2012;finals;6;Russia;Buranovskiye Babushki;"""Party for Everybody""";Udmurt, English;2;259;12;42
2012;finals;7;Iceland;Greta Salóme and Jónsi;"""Never Forget""";English;20;46;12;42
2012;finals;8;Cyprus;Ivi Adamou;"""La La Love""";English;16;65;12;42
2012;finals;9;France;Anggun;"""Echo (You and I)""";French, English;22;21;12;42
2012;finals;10;Italy;Nina Zilli;"""L'amore è femmina (Out of Love)""";English, Italian;9;101;12;42
2012;finals;11;Estonia;Ott Lepland;"""Kuula""";Estonian;6;120;12;42
2012;finals;12;Norway;Tooji;"""Stay""";English;26;7;12;42
2012;finals;13;Azerbaijan;Sabina Babayeva;"""When the Music Dies""";English;4;150;12;42
2012;finals;14;Romania;Mandinga;"""Zaleilah""";Spanish, English;12;71;12;42
2012;finals;15;Denmark;Soluna Samay;"""Should've Known Better""";English;23;21;12;42
2012;finals;16;Greece;Eleftheria Eleftheriou;"""Aphrodisiac""";English;17;64;12;42
2012;finals;17;Sweden;Loreen;"""Euphoria""";English;1;372;12;42
2012;finals;18;Turkey;Can Bonomo;"""Love Me Back""";English;7;112;12;42
2012;finals;19;Spain;Pastora Soler;"""Quédate conmigo""";Spanish;10;97;12;42
2012;finals;20;Germany;Roman Lob;"""Standing Still""";English;8;110;12;42
2012;finals;21;Malta;Kurt Calleja;"""This Is the Night""";English;21;41;12;42
2012;finals;22;Macedonia;Kaliopi;"""Crno i belo"" (???? ? ????)";Macedonian;13;71;12;42
2012;finals;23;Ireland;Jedward;"""Waterline""";English;19;46;12;42
2012;finals;24;Serbia;Željko Joksimovi?;"""Nije ljubav stvar"" (???? ????? ?????)";Serbian;3;214;12;42
2012;finals;25;Ukraine;Gaitana;"""Be My Guest""";English;15;65;12;42
2012;finals;26;Moldova;Pasha Parfeny;"""L?utar""";English;11;81;12;42
2011;semifinals 1;1;Poland;Magdalena Tul;"""Jestem""";Polish;19;18;12;21
2011;semifinals 1;2;Norway;Stella Mwangi;"""Haba Haba""";English, Swahili;17;30;12;21
2011;semifinals 1;3;Albania;Aurela Gaçe;"""Feel the Passion""";English, Albanian;14;47;12;21
2011;semifinals 1;4;Armenia;Emmy;"""Boom Boom""";English;12;54;12;21
2011;semifinals 1;5;Turkey;Yüksek Sadakat;"""Live It Up""";English;13;47;12;21
2011;semifinals 1;6;Serbia;Nina;"""?aroban"" (???????)";Serbian;8;67;12;21
2011;semifinals 1;7;Russia;Alexey Vorobyov;"""Get You""";English, Russian;9;64;12;21
2011;semifinals 1;8;Switzerland;Anna Rossinelli;"""In Love for a While""";English;10;55;12;21
2011;semifinals 1;9;Georgia;Eldrine;"""One More Day""";English;6;74;12;21
2011;semifinals 1;10;Finland;Paradise Oskar;"""Da Da Dam""";English;3;103;12;21
2011;semifinals 1;11;Malta;Glen Vella;"""One Life""";English;11;54;12;21
2011;semifinals 1;12;San Marino;Senit;"""Stand By""";English;16;34;12;21
2011;semifinals 1;13;Croatia;Daria;"""Celebrate""";English;15;41;12;21
2011;semifinals 1;14;Iceland;Sjonni's Friends;"""Coming Home""";English;4;100;12;21
2011;semifinals 1;15;Hungary;Kati Wolf;"""What About My Dreams?""";English, Hungarian;7;72;12;21
2011;semifinals 1;16;Portugal;Homens da Luta;"""A luta é alegria""";Portuguese;18;22;12;21
2011;semifinals 1;17;Lithuania;Evelina Sašenko;"""C'est ma vie""";English;5;81;12;21
2011;semifinals 1;18;Azerbaijan;Ell & Nikki;"""Running Scared""";English;2;122;12;21
2011;semifinals 1;19;Greece;Loukas Giorkas feat. Stereo Mike;"""Watch My Dance""";English, Greek;1;133;12;21
2011;semifinals 2;1;Bosnia and Herzegovina;Dino Merlin;"""Love in Rewind""";English, Bosnian;5;109;12;22
2011;semifinals 2;2;Austria;Nadine Beiler;"""The Secret Is Love""";English;7;69;12;22
2011;semifinals 2;3;Netherlands;3JS;"""Never Alone""";English;19;13;12;22
2011;semifinals 2;4;Belgium;Witloof Bay;"""With Love Baby""";English;11;53;12;22
2011;semifinals 2;5;Slovakia;TWiiNS;"""I'm Still Alive""";English;13;48;12;22
2011;semifinals 2;6;Ukraine;Mika Newton;"""Angel""";English;6;81;12;22
2011;semifinals 2;7;Moldova;Zdob ?i Zdub;"""So Lucky""";English;10;54;12;22
2011;semifinals 2;8;Sweden;Eric Saade;"""Popular""";English;1;155;12;22
2011;semifinals 2;9;Cyprus;Christos Mylordos;"""San aggelos s'agapisa"" (??? ??????? ?'???????)";Greek;18;16;12;22
2011;semifinals 2;10;Bulgaria;Poli Genova;"""Na inat"" (?? ????)";Bulgarian;12;48;12;22
2011;semifinals 2;11;Macedonia;Vlatko Ilievski;"""Rusinka"" (??????a)";Macedonian, English;16;36;12;22
2011;semifinals 2;12;Israel;Dana International;"""Ding Dong""";Hebrew, English;15;38;12;22
2011;semifinals 2;13;Slovenia;Maja Keuc;"""No One""";English;3;112;12;22
2011;semifinals 2;14;Romania;Hotel FM;"""Change""";English;4;111;12;22
2011;semifinals 2;15;Estonia;Getter Jaani;"""Rockefeller Street""";English;9;60;12;22
2011;semifinals 2;16;Belarus;Anastasia Vinnikova;"""I Love Belarus""";English;14;45;12;22
2011;semifinals 2;17;Latvia;Musiqq;"""Angel in Disguise""";English;17;25;12;22
2011;semifinals 2;18;Denmark;A Friend in London;"""New Tomorrow""";English;2;135;12;22
2011;semifinals 2;19;Ireland;Jedward;"""Lipstick""";English;8;68;12;22
2011;finals;1;Finland;Paradise Oskar;"""Da Da Dam""";English;21;57;12;43
2011;finals;2;Bosnia and Herzegovina;Dino Merlin;"""Love in Rewind""";English, Bosnian;6;125;12;43
2011;finals;3;Denmark;A Friend in London;"""New Tomorrow""";English;5;134;12;43
2011;finals;4;Lithuania;Evelina Sašenko;"""C'est ma vie""";English;19;63;12;43
2011;finals;5;Hungary;Kati Wolf;"""What About My Dreams?""";English, Hungarian;22;53;12;43
2011;finals;6;Ireland;Jedward;"""Lipstick""";English;8;119;12;43
2011;finals;7;Sweden;Eric Saade;"""Popular""";English;3;185;12;43
2011;finals;8;Estonia;Getter Jaani;"""Rockefeller Street""";English;24;44;12;43
2011;finals;9;Greece;Loukas Giorkas feat. Stereo Mike;"""Watch My Dance""";English, Greek;7;120;12;43
2011;finals;10;Russia;Alexey Vorobyov;"""Get You""";English, Russian;16;77;12;43
2011;finals;11;France;Amaury Vassili;"""Sognu""";Corsican;15;82;12;43
2011;finals;12;Italy;Raphael Gualazzi;"""Madness of Love""";Italian, English;2;189;12;43
2011;finals;13;Switzerland;Anna Rossinelli;"""In Love for a While""";English;25;19;12;43
2011;finals;14;United Kingdom;Blue;"""I Can""";English;11;100;12;43
2011;finals;15;Moldova;Zdob ?i Zdub;"""So Lucky""";English;12;97;12;43
2011;finals;16;Germany;Lena;"""Taken by a Stranger""";English;10;107;12;43
2011;finals;17;Romania;Hotel FM;"""Change""";English;17;77;12;43
2011;finals;18;Austria;Nadine Beiler;"""The Secret Is Love""";English;18;64;12;43
2011;finals;19;Azerbaijan;Ell & Nikki;"""Running Scared""";English;1;221;12;43
2011;finals;20;Slovenia;Maja Keuc;"""No One""";English;13;96;12;43
2011;finals;21;Iceland;Sjonni's Friends;"""Coming Home""";English;20;61;12;43
2011;finals;22;Spain;Lucía Pérez;"""Que me quiten lo bailao""";Spanish;23;50;12;43
2011;finals;23;Ukraine;Mika Newton;"""Angel""";English;4;159;12;43
2011;finals;24;Serbia;Nina;"""?aroban"" (???????)";Serbian;14;85;12;43
2011;finals;25;Georgia;Eldrine;"""One More Day""";English;9;110;12;43
2010;semifinals 1;1;Moldova;SunStroke Project and Olia Tira;"""Run Away""";English;10;52;12;20
2010;semifinals 1;2;Russia;Peter Nalitch and Friends;"""Lost and Forgotten""";English;7;74;12;20
2010;semifinals 1;3;Estonia;Malcolm Lincoln and Manpower 4;"""Siren""";English;14;39;12;20
2010;semifinals 1;4;Slovakia;Kristina;"""Horehronie""";Slovak;16;24;12;20
2010;semifinals 1;5;Finland;Kuunkuiskaajat;"""Työlki ellää""";Finnish;11;49;12;20
2010;semifinals 1;6;Latvia;Aisha;"""What For?""";English;17;11;12;20
2010;semifinals 1;7;Serbia;Milan Stankovi?;"""Ovo je Balkan"" (O?? je ??????)";Serbian;5;79;12;20
2010;semifinals 1;8;Bosnia and Herzegovina;Vukašin Braji?;"""Thunder and Lightning""";English;8;59;12;20
2010;semifinals 1;9;Poland;Marcin Mrozi?ski;"""Legenda""";English, Polish;13;44;12;20
2010;semifinals 1;10;Belgium;Tom Dice;"""Me and My Guitar""";English;1;167;12;20
2010;semifinals 1;11;Malta;Thea Garrett;"""My Dream""";English;12;45;12;20
2010;semifinals 1;12;Albania;Juliana Pasha;"""It's All About You""";English;6;76;12;20
2010;semifinals 1;13;Greece;Giorgos Alkaios and Friends;"""OPA"" (???)";Greek;2;133;12;20
2010;semifinals 1;14;Portugal;Filipa Azevedo;"""Há dias assim""";Portuguese;4;89;12;20
2010;semifinals 1;15;Macedonia;Gjoko Taneski;"""Jas ja imam silata"" (??? ?? ???? ??????)";Macedonian;15;37;12;20
2010;semifinals 1;16;Belarus;3+2 feat Robert Wells;"""Butterflies""";English;9;59;12;20
2010;semifinals 1;17;Iceland;Hera Björk;"""Je ne sais quoi""";English;3;123;12;20
2010;semifinals 2;1;Lithuania;InCulto;"""Eastern European Funk""";English;12;44;12;19
2010;semifinals 2;2;Armenia;Eva Rivas;"""Apricot Stone""";English;6;83;12;19
2010;semifinals 2;3;Israel;Harel Skaat;"""Milim"" (?????)";Hebrew;8;71;12;19
2010;semifinals 2;4;Denmark;Chanée and N'evergreen;"""In a Moment Like This""";English;5;101;12;19
2010;semifinals 2;5;Switzerland;Michael von der Heide;"""Il pleut de l'or""";French;17;2;12;19
2010;semifinals 2;6;Sweden;Anna Bergendahl;"""This Is My Life""";English;11;62;12;19
2010;semifinals 2;7;Azerbaijan;Safura;"""Drip Drop""";English;2;113;12;19
2010;semifinals 2;8;Ukraine;Alyosha;"""Sweet People""";English;7;77;12;19
2010;semifinals 2;9;Netherlands;Sieneke;"""Ik ben verliefd (Sha-la-lie)""";Dutch;14;29;12;19
2010;semifinals 2;10;Romania;Paula Seling and Ovi;"""Playing with Fire""";English;4;104;12;19
2010;semifinals 2;11;Slovenia;Ansambel Žlindra and Kalamari;"""Narodnozabavni rock""";Slovene;16;6;12;19
2010;semifinals 2;12;Ireland;Niamh Kavanagh;"""It's for You""";English;9;67;12;19
2010;semifinals 2;13;Bulgaria;Miro;"""Angel si ti"" (????? ?? ??)";Bulgarian, English;15;19;12;19
2010;semifinals 2;14;Cyprus;Jon Lilygreen and The Islanders;"""Life Looks Better in Spring""";English;10;67;12;19
2010;semifinals 2;15;Croatia;Feminnem;"""Lako je sve""";Croatian;13;33;12;19
2010;semifinals 2;16;Georgia;Sofia Nizharadze;"""Shine""";English;3;106;12;19
2010;semifinals 2;17;Turkey;maNga;"""We Could Be the Same""";English;1;118;12;19
2010;finals;1;Azerbaijan;Safura;"""Drip Drop""";English;5;145;12;39
2010;finals;2;Spain;Daniel Diges;"""Algo Pequeñito""";Spanish;15;68;12;39
2010;finals;3;Norway;Didrik Solli-Tangen;"""My Heart Is Yours""";English;20;35;12;39
2010;finals;4;Moldova;SunStroke Project and Olia Tira;"""Run Away""";English;22;27;12;39
2010;finals;5;Cyprus;Jon Lilygreen and The Islanders;"""Life Looks Better in Spring""";English;21;27;12;39
2010;finals;6;Bosnia and Herzegovina;Vukašin Braji?;"""Thunder and Lightning""";English;17;51;12;39
2010;finals;7;Belgium;Tom Dice;"""Me and My Guitar""";English;6;143;12;39
2010;finals;8;Serbia;Milan Stankovi?;"""Ovo je Balkan"" (O?? je ??????)";Serbian;13;72;12;39
2010;finals;9;Belarus;3+2 feat Robert Wells;"""Butterflies""";English;24;18;12;39
2010;finals;10;Ireland;Niamh Kavanagh;"""It's for You""";English;23;25;12;39
2010;finals;11;Greece;Giorgos Alkaios and Friends;"""OPA"" (???)";Greek;8;140;12;39
2010;finals;12;United Kingdom;Josh Dubovie;"""That Sounds Good to Me""";English;25;10;12;39
2010;finals;13;Georgia;Sofia Nizharadze;"""Shine""";English;9;136;12;39
2010;finals;14;Turkey;maNga;"""We Could Be the Same""";English;2;170;12;39
2010;finals;15;Albania;Juliana Pasha;"""It's All About You""";English;16;62;12;39
2010;finals;16;Iceland;Hera Björk;"""Je ne sais quoi""";English;19;41;12;39
2010;finals;17;Ukraine;Alyosha;"""Sweet People""";English;10;108;12;39
2010;finals;18;France;Jessy Matador;"""Allez Ola Olé""";French;12;82;12;39
2010;finals;19;Romania;Paula Seling and Ovi;"""Playing with Fire""";English;3;162;12;39
2010;finals;20;Russia;Peter Nalitch and Friends;"""Lost and Forgotten""";English;11;90;12;39
2010;finals;21;Armenia;Eva Rivas;"""Apricot Stone""";English;7;141;12;39
2010;finals;22;Germany;Lena;"""Satellite""";English;1;246;12;39
2010;finals;23;Portugal;Filipa Azevedo;"""Há dias assim""";Portuguese;18;43;12;39
2010;finals;24;Israel;Harel Skaat;"""Milim"" (?????)";Hebrew;14;71;12;39
2010;finals;25;Denmark;Chanée and N'evergreen;"""In a Moment Like This""";English;4;149;12;39
2009;semifinals 1;1;Montenegro;Andrea Demirovi?;"""Just Get Out of My Life""";English;11;44;12;20
2009;semifinals 1;2;Czech Republic;Gipsy.cz;"""Aven Romale""";English, Romani;18;0;12;20
2009;semifinals 1;3;Belgium;Copycat;"""Copycat""";English;17;1;12;20
2009;semifinals 1;4;Belarus;Petr Elfimov;"""Eyes That Never Lie""";English;13;25;12;20
2009;semifinals 1;5;Sweden;Malena Ernman;"""La voix""";French, English;4;105;12;20
2009;semifinals 1;6;Armenia;Inga and Anush;"""Jan Jan"" (??? ???)";English, Armenian;5;99;12;20
2009;semifinals 1;7;Andorra;Susanne Georgi;"""La teva decisió (Get a Life)""";Catalan, English;15;8;12;20
2009;semifinals 1;8;Switzerland;Lovebugs;"""The Highest Heights""";English;14;15;12;20
2009;semifinals 1;9;Turkey;Hadise;"""Düm Tek Tek""";English;2;172;12;20
2009;semifinals 1;10;Israel;Noa and Mira Awad;"""There Must Be Another Way""";English, Hebrew, Arabic;7;75;12;20
2009;semifinals 1;11;Bulgaria;Krassimir Avramov;"""Illusion""";English;16;7;12;20
2009;semifinals 1;12;Iceland;Yohanna[69];"""Is It True?""";English;1;174;12;20
2009;semifinals 1;13;Macedonia;Next Time;"""Nešto što kje ostane""";Macedonian;10;45;12;20
2009;semifinals 1;14;Romania;Elena;"""The Balkan Girls""";English;9;67;12;20
2009;semifinals 1;15;Finland;Waldo's People;"""Lose Control""";English;12;42;12;20
2009;semifinals 1;16;Portugal;Flor-de-Lis;"""Todas as ruas do amor""";Portuguese;8;70;12;20
2009;semifinals 1;17;Malta;Chiara;"""What If We""";English;6;86;12;20
2009;semifinals 1;18;Bosnia and Herzegovina;Regina;"""Bistra voda""";Bosnian;3;125;12;20
2009;semifinals 2;1;Croatia;Igor Cukrov feat. Andrea;"""Lijepa Tena""";Croatian;13;33;12;21
2009;semifinals 2;2;Ireland;Sinéad Mulvey and Black Daisy;"""Et Cetera""";English;11;52;12;21
2009;semifinals 2;3;Latvia;Intars Busulis;"""Probka"" (??????)";Russian;19;7;12;21
2009;semifinals 2;4;Serbia;Marko Kon and Milaan[73];"""Cipela"" (??????)";Serbian;10;60;12;21
2009;semifinals 2;5;Poland;Lidia Kopania;"""I Don't Wanna Leave""";English;12;43;12;21
2009;semifinals 2;6;Norway;Alexander Rybak;"""Fairytale""";English;1;201;12;21
2009;semifinals 2;7;Cyprus;Christina Metaxa;"""Firefly""";English;14;32;12;21
2009;semifinals 2;8;Slovakia;Kamil Mikul?ík and Nela Pocisková;"""Le? tmou""";Slovak;18;8;12;21
2009;semifinals 2;9;Denmark;Brinck;"""Believe Again""";English;8;69;12;21
2009;semifinals 2;10;Slovenia;Quartissimo feat. Martina;"""Love Symphony""";English;16;14;12;21
2009;semifinals 2;11;Hungary;Zoli Ádok;"""Dance with Me""";English;15;16;12;21
2009;semifinals 2;12;Azerbaijan;AySel and Arash[74];"""Always""";English;2;180;12;21
2009;semifinals 2;13;Greece;Sakis Rouvas;"""This Is Our Night""";English;4;110;12;21
2009;semifinals 2;14;Lithuania;Sasha Son;"""Love""";English, Russian;9;66;12;21
2009;semifinals 2;15;Moldova;Nelly Ciobanu;"""Hora din Moldova""";Romanian, English;5;106;12;21
2009;semifinals 2;16;Albania;Kejsi Tola;"""Carry Me in Your Dreams""";English;7;73;12;21
2009;semifinals 2;17;Ukraine;Svetlana Loboda;"""Be My Valentine""";English;6;80;12;21
2009;semifinals 2;18;Estonia;Urban Symphony;"""Rändajad""";Estonian;3;115;12;21
2009;semifinals 2;19;Netherlands;The Toppers;"""Shine""";English;17;11;12;21
2009;finals;1;Lithuania;Sasha Son;"""Love""";English, Russian;23;23;12;42
2009;finals;2;Israel;Noa and Mira Awad;"""There Must Be Another Way""";English, Hebrew, Arabic;16;53;12;42
2009;finals;3;France;Patricia Kaas;"""Et s'il fallait le faire""";French;8;107;12;42
2009;finals;4;Sweden;Malena Ernman;"""La voix""";French, English;21;33;12;42
2009;finals;5;Croatia;Igor Cukrov feat. Andrea;"""Lijepa Tena""";Croatian;18;45;12;42
2009;finals;6;Portugal;Flor-de-Lis;"""Todas as ruas do amor""";Portuguese;15;57;12;42
2009;finals;7;Iceland;Yohanna[69];"""Is It True?""";English;2;218;12;42
2009;finals;8;Greece;Sakis Rouvas;"""This Is Our Night""";English;7;120;12;42
2009;finals;9;Armenia;Inga and Anush;"""Jan Jan"" (??? ???)";English, Armenian;10;92;12;42
2009;finals;10;Russia;Anastasiya Prikhodko;"""Mamo"" (????)";Russian, Ukrainian;11;91;12;42
2009;finals;11;Azerbaijan;AySel and Arash[74];"""Always""";English;3;207;12;42
2009;finals;12;Bosnia and Herzegovina;Regina;"""Bistra voda""";Bosnian;9;106;12;42
2009;finals;13;Moldova;Nelly Ciobanu;"""Hora din Moldova""";Romanian, English;14;69;12;42
2009;finals;14;Malta;Chiara;"""What If We""";English;22;31;12;42
2009;finals;15;Estonia;Urban Symphony;"""Rändajad""";Estonian;6;129;12;42
2009;finals;16;Denmark;Niels Brinck;"""Believe Again""";English;13;74;12;42
2009;finals;17;Germany;Alex Swings Oscar Sings![75];"""Miss Kiss Kiss Bang""";English;20;35;12;42
2009;finals;18;Turkey;Hadise;"""Düm Tek Tek""";English;4;177;12;42
2009;finals;19;Albania;Kejsi Tola;"""Carry Me in Your Dreams""";English;17;48;12;42
2009;finals;20;Norway;Alexander Rybak;"""Fairytale""";English;1;387;12;42
2009;finals;21;Ukraine;Svetlana Loboda;"""Be My Valentine""";English;12;76;12;42
2009;finals;22;Romania;Elena;"""The Balkan Girls""";English;19;40;12;42
2009;finals;23;United Kingdom;Jade Ewen;"""It's My Time""";English;5;173;12;42
2009;finals;24;Finland;Waldo's People;"""Lose Control""";English;25;22;12;42
2009;finals;25;Spain;Soraya Arnelas;"""La noche es para mí""";Spanish;24;23;12;42
2008;semifinals 1;1;Montenegro;Stefan Filipovi?;"""Zauvijek volim te""";Montenegrin;14;23;12;21
2008;semifinals 1;2;Israel;Boaz Ma'uda;"""The Fire in Your Eyes""";Hebrew, English;5;104;12;21
2008;semifinals 1;3;Estonia;Kreisiraadio;"""Leto svet""";Serbian, German, Finnish;18;8;12;21
2008;semifinals 1;4;Moldova;Geta Burlacu;"""A Century of Love""";English;12;36;12;21
2008;semifinals 1;5;San Marino;Miodio;"""Complice""";Italian;19;5;12;21
2008;semifinals 1;6;Belgium;Ishtar;"""O Julissi""";Imaginary;17;16;12;21
2008;semifinals 1;7;Azerbaijan;Elnur and Samir;"""Day After Day""";English;6;96;12;21
2008;semifinals 1;8;Slovenia;Rebeka Dremelj;"""Vrag naj vzame""";Slovene;11;36;12;21
2008;semifinals 1;9;Norway;Maria Haukaas Storeng;"""Hold On Be Strong""";English;4;106;12;21
2008;semifinals 1;10;Poland;Isis Gee;"""For Life""";English;10;42;12;21
2008;semifinals 1;11;Ireland;Dustin the Turkey;"""Irelande Douze Pointe""";English, French;15;22;12;21
2008;semifinals 1;12;Andorra;Gisela;"""Casanova""";English, Catalan;16;22;12;21
2008;semifinals 1;13;Bosnia and Herzegovina;Laka;"""Pokušaj""";Bosnian;9;72;12;21
2008;semifinals 1;14;Armenia;Sirusho;"""Qélé, Qélé"" (???? ????)";English, Armenian;2;139;12;21
2008;semifinals 1;15;Netherlands;Hind;"""Your Heart Belongs to Me""";English;13;27;12;21
2008;semifinals 1;16;Finland;Teräsbetoni;"""Missä miehet ratsastaa""";Finnish;8;79;12;21
2008;semifinals 1;17;Romania;Nico and Vlad;"""Pe-o margine de lume""";Romanian, Italian;7;94;12;21
2008;semifinals 1;18;Russia;Dima Bilan;"""Believe""";English;3;135;12;21
2008;semifinals 1;19;Greece;Kalomira;"""Secret Combination""";English;1;156;12;21
2008;semifinals 2;1;Iceland;Euroband;"""This Is My Life""";English;8;68;12;22
2008;semifinals 2;2;Sweden;Charlotte Perrelli;"""Hero""";English;12;54;12;22
2008;semifinals 2;3;Turkey;Mor ve Ötesi;"""Deli""";Turkish;7;85;12;22
2008;semifinals 2;4;Ukraine;Ani Lorak;"""Shady Lady""";English;1;152;12;22
2008;semifinals 2;5;Lithuania;Jeronimas Milius;"""Nomads in the Night""";English;16;30;12;22
2008;semifinals 2;6;Albania;Olta Boka;"""Zemrën e lamë peng""";Albanian;9;67;12;22
2008;semifinals 2;7;Switzerland;Paolo Meneguzzi;"""Era stupendo""";Italian;13;47;12;22
2008;semifinals 2;8;Czech Republic;Tereza Kerndlová;"""Have Some Fun""";English;18;9;12;22
2008;semifinals 2;9;Belarus;Ruslan Alekhno;"""Hasta la Vista""";English;17;27;12;22
2008;semifinals 2;10;Latvia;Pirates of the Sea;"""Wolves of the Sea""";English;6;86;12;22
2008;semifinals 2;11;Croatia;Kraljevi ulice and 75 cents;"""Romanca""";Croatian;4;112;12;22
2008;semifinals 2;12;Bulgaria;Deep Zone and Balthazar;"""DJ, Take Me Away""";English;11;56;12;22
2008;semifinals 2;13;Denmark;Simon Mathew;"""All Night Long""";English;3;112;12;22
2008;semifinals 2;14;Georgia;Diana Gurtskaya;"""Peace Will Come""";English;5;107;12;22
2008;semifinals 2;15;Hungary;Csézy;"""Candlelight""";English, Hungarian;19;6;12;22
2008;semifinals 2;16;Malta;Morena;"""Vodka""";English;14;38;12;22
2008;semifinals 2;17;Cyprus;Evdokia Kadi;"""Femme Fatale""";Greek;15;36;12;22
2008;semifinals 2;18;Macedonia;Tamara, Vr?ak & Adrian;"""Let Me Love You""";English;10;64;12;22
2008;semifinals 2;19;Portugal;Vânia Fernandes;"""Senhora do mar (Negras águas)""";Portuguese;2;120;12;22
2008;finals;1;Romania;Nico and Vlad;"""Pe-o margine de lume""";Romanian, Italian;20;45;12;43
2008;finals;2;United Kingdom;Andy Abraham;"""Even If""";English;25;14;12;43
2008;finals;3;Albania;Olta Boka;"""Zemrën e lamë peng""";Albanian;17;55;12;43
2008;finals;4;Germany;No Angels;"""Disappear""";English;23;14;12;43
2008;finals;5;Armenia;Sirusho;"""Qélé, Qélé"" (???? ????)";English, Armenian;4;199;12;43
2008;finals;6;Bosnia and Herzegovina;Laka;"""Pokušaj""";Bosnian;10;110;12;43
2008;finals;7;Israel;Boaz Ma'uda;"""The Fire in Your Eyes""";Hebrew, English;9;124;12;43
2008;finals;8;Finland;Teräsbetoni;"""Missä miehet ratsastaa""";Finnish;22;35;12;43
2008;finals;9;Croatia;Kraljevi Ulice and 75 cents;"""Romanca""";Croatian;21;44;12;43
2008;finals;10;Poland;Isis Gee;"""For Life""";English;24;14;12;43
2008;finals;11;Iceland;Euroband;"""This Is My Life""";English;14;64;12;43
2008;finals;12;Turkey;Mor ve Ötesi;"""Deli""";Turkish;7;138;12;43
2008;finals;13;Portugal;Vânia Fernandes;"""Senhora do mar (Negras águas)""";Portuguese;13;69;12;43
2008;finals;14;Latvia;Pirates of the Sea;"""Wolves of the Sea""";English;12;83;12;43
2008;finals;15;Sweden;Charlotte Perrelli;"""Hero""";English;18;47;12;43
2008;finals;16;Denmark;Simon Mathew;"""All Night Long""";English;15;60;12;43
2008;finals;17;Georgia;Diana Gurtskaya;"""Peace Will Come""";English;11;83;12;43
